Column1,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Services.Tenure in Months,Services.Offer,Services.Internet Type,Services.Premium Tech Support,Services.Streaming TV,Services.Streaming Movies,Services.Contract,Services.Payment Method,Services.Monthly Charge,Services.Total Charges,Services.Total Revenue,Status.Satisfaction Score,Status.Customer Status,Status.Churn Label,Status.Churn Value,Status.Churn Score,Status.CLTV,Status.Churn Category,Status.Churn Reason,Location.Country,Location.State,Location.City,Location.Zip Code,Location.Latitude,Location.Longitude,Population.Population,Age Group,Tenure Group,Churn Risk
4827-LTQRJ,1,Female,70,No,Yes,Yes,Yes,2,66,None,Fiber Optic,Yes,Yes,Yes,One Year,Credit Card,110.6,7210.85,10139.93,4,Stayed,No,0,67,5418,,,United States,California,Shasta,96087,40.617614,-122.512861,528,60,Long-term,Medium
0236-HFWSV,1,Male,49,No,No,No,No,0,15,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,93.35,1444.65,2178.6,1,Churned,Yes,1,77,5264,Competitor,Competitor had better devices,United States,California,Palmdale,93552,34.557711,-118.029441,25370,46-60,Growing,High
3900-AQPHZ,1,Female,45,No,No,No,No,0,1,None,None,No,No,No,Month-to-Month,Mailed Check,19.9,19.9,69.41,2,Churned,Yes,1,91,4248,Attitude,Attitude of support person,United States,California,Pearblossom,93553,34.445239,-117.894868,1613,31-45,New Customer,High
5236-PERKL,1,Female,38,No,No,No,No,0,57,None,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,112.95,6465,9250.02,1,Churned,Yes,1,89,4738,Competitor,Competitor offered higher download speeds,United States,California,Pearblossom,93553,34.445239,-117.894868,1613,31-45,Long-term,High
0916-QOFDP,1,Female,79,No,Yes,Yes,Yes,1,14,None,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,95.8,1346.3,1547.76,3,Stayed,No,0,29,3471,,,United States,California,Randsburg,93554,35.405722,-117.773354,117,60,Growing,Low
5842-POCOP,1,Female,37,No,No,Yes,No,0,5,None,Cable,No,No,Yes,Month-to-Month,Mailed Check,88.9,454.15,662,1,Churned,Yes,1,79,4356,Competitor,Competitor offered higher download speeds,United States,California,Randsburg,93554,35.405722,-117.773354,117,31-45,New Customer,High
7854-FOKSF,1,Male,54,No,No,No,No,0,1,Offer E,Cable,No,No,Yes,Month-to-Month,Bank Withdrawal,35.9,35.9,35.9,1,Churned,Yes,1,93,4747,Competitor,Competitor offered higher download speeds,United States,California,Rosamond,93560,34.903052,-118.411251,14931,46-60,New Customer,High
1580-BMCMR,1,Male,66,No,Yes,No,No,0,19,None,Fiber Optic,No,No,Yes,Month-to-Month,Bank Withdrawal,87.3,1637.3,2203.5,3,Stayed,No,0,70,4447,,,United States,California,Tehachapi,93561,35.073777,-118.652112,25805,60,Growing,Medium
2519-FAKOD,1,Male,30,No,No,No,No,0,38,Offer C,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,99.25,3777.15,4965.41,1,Churned,Yes,1,76,5274,Competitor,Competitor had better devices,United States,California,Tehachapi,93561,35.073777,-118.652112,25805,18-30,Loyal,High
4199-QHJNM,1,Male,72,No,Yes,Yes,No,0,67,Offer A,Fiber Optic,Yes,Yes,Yes,Two Year,Bank Withdrawal,102.9,6989.7,10251.26,3,Stayed,No,0,52,5869,,,United States,California,Bass Lake,93604,37.458367,-119.345011,613,60,Long-term,Medium
4678-DVQEO,1,Female,41,No,No,No,No,0,1,None,DSL,Yes,No,No,Month-to-Month,Bank Withdrawal,52.2,52.2,86.24,1,Churned,Yes,1,71,4138,Competitor,Competitor made better offer,United States,California,Bass Lake,93604,37.458367,-119.345011,613,31-45,New Customer,High
5135-GRQJV,1,Male,75,No,Yes,Yes,No,0,72,Offer A,Fiber Optic,Yes,Yes,Yes,Two Year,Mailed Check,114.5,8331.95,8735.15,3,Stayed,No,0,47,6051,,,United States,California,Cantua Creek,93608,36.488056,-120.407691,1766,60,Long-term,Medium
7089-IVVAZ,1,Female,26,Yes,No,No,No,0,8,Offer E,Fiber Optic,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,103.35,847.3,1004.74,1,Churned,Yes,1,71,2363,Competitor,Competitor offered more data,United States,California,Cantua Creek,93608,36.488056,-120.407691,1766,18-30,New Customer,High
2384-OVPSA,1,Female,65,No,Yes,No,No,0,38,None,None,No,No,No,Two Year,Mailed Check,20.2,735.9,891.32,3,Stayed,No,0,71,4947,,,United States,California,Caruthers,93609,36.5276,-119.865999,5446,60,Loyal,High
1371-WEPDS,1,Male,71,No,Yes,Yes,No,0,40,None,DSL,No,No,Yes,One Year,Bank Withdrawal,55.8,2283.3,3475.7,3,Stayed,No,0,78,3587,,,United States,California,Chowchilla,93610,37.100948,-120.270136,19391,60,Loyal,High
3349-ANQNH,1,Female,70,No,Yes,No,No,0,59,None,Fiber Optic,No,Yes,Yes,One Year,Bank Withdrawal,99.5,5890,7321.93,5,Stayed,No,0,50,5513,,,United States,California,Del Rey,93616,36.657462,-119.595293,1965,60,Long-term,Medium
5937-EORGB,1,Male,79,No,Yes,Yes,No,0,15,None,Fiber Optic,No,Yes,No,Month-to-Month,Bank Withdrawal,96.5,1392.25,1734.7,4,Stayed,No,0,61,2394,,,United States,California,Five Points,93624,36.397745,-120.119911,1852,60,Growing,Medium
3009-JWMPU,1,Male,58,No,No,No,No,0,62,Offer B,Fiber Optic,No,Yes,Yes,One Year,Bank Withdrawal,96.75,6125.4,7529.08,2,Churned,Yes,1,92,5016,Attitude,Attitude of service provider,United States,California,Five Points,93624,36.397745,-120.119911,1852,46-60,Long-term,High
3325-FUYCG,1,Male,58,No,No,Yes,No,0,28,Offer C,Fiber Optic,No,Yes,Yes,One Year,Bank Withdrawal,106.1,2847.4,3116.76,1,Churned,Yes,1,85,3770,Dissatisfaction,Service dissatisfaction,United States,California,Five Points,93624,36.397745,-120.119911,1852,46-60,Loyal,High
8481-YYXWG,1,Female,30,No,No,No,No,0,5,Offer E,Fiber Optic,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.35,461.7,512.25,3,Churned,Yes,1,70,4584,Dissatisfaction,Network reliability,United States,California,Hume,93628,36.807595,-118.901544,93,18-30,New Customer,Medium
4583-PARNH,1,Male,66,No,Yes,Yes,No,0,16,None,Fiber Optic,Yes,No,Yes,Month-to-Month,Bank Withdrawal,91.55,1540.05,1787.09,5,Stayed,No,0,46,4045,,,United States,California,Kerman,93630,36.727418,-120.123526,14062,60,Growing,Medium
3138-BKYAV,1,Male,61,No,No,No,No,0,6,None,Fiber Optic,No,Yes,No,Month-to-Month,Bank Withdrawal,85.35,489.45,561.27,3,Churned,Yes,1,75,4694,Attitude,Attitude of service provider,United States,California,Kerman,93630,36.727418,-120.123526,14062,60,New Customer,High
0716-BQNDX,1,Male,77,No,Yes,No,No,0,57,None,Fiber Optic,Yes,No,Yes,Two Year,Bank Withdrawal,93.75,5625.55,5751.52,3,Stayed,No,0,75,4276,,,United States,California,Madera,93637,36.902954,-120.194274,28434,60,Long-term,High
4289-DTDKW,1,Male,54,No,No,Yes,No,0,40,Offer B,Cable,No,Yes,Yes,Month-to-Month,Bank Withdrawal,101.3,4113.1,5015.5,1,Churned,Yes,1,70,2576,Competitor,Competitor had better devices,United States,California,Madera,93637,36.902954,-120.194274,28434,46-60,Loyal,Medium
4853-RULSV,1,Male,25,Yes,No,No,No,0,70,Offer A,Fiber Optic,Yes,Yes,Yes,Two Year,Credit Card,104,7250.15,8103.45,1,Churned,Yes,1,80,4544,Attitude,Attitude of service provider,United States,California,Miramonte,93641,36.696759,-119.024051,571,18-30,Long-term,High
2609-IAICY,1,Female,32,No,No,No,No,0,1,None,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,77.15,77.15,114.85,3,Churned,Yes,1,79,2756,Dissatisfaction,Limited range of services,United States,California,North Fork,93643,37.244307,-119.470256,3376,31-45,New Customer,High
1740-CSDJP,1,Male,53,No,No,No,No,0,1,None,DSL,No,No,Yes,Month-to-Month,Bank Withdrawal,35.25,35.25,35.25,2,Churned,Yes,1,88,2548,Price,Lack of affordable download/upload speed,United States,California,Oakhurst,93644,37.648647,-119.231447,8521,46-60,New Customer,High
6275-YDUVO,1,Female,62,No,No,No,No,0,2,Offer E,Fiber Optic,No,No,Yes,Month-to-Month,Mailed Check,86.2,178.7,226.8,3,Churned,Yes,1,95,2969,Attitude,Attitude of service provider,United States,California,Orosi,93647,36.600185,-119.175655,9780,60,New Customer,High
2636-OHFMN,1,Male,26,Yes,No,Yes,No,0,4,None,DSL,No,Yes,Yes,Month-to-Month,Bank Withdrawal,48.55,201,201,2,Churned,Yes,1,90,3955,Price,Long distance charges,United States,California,Orosi,93647,36.600185,-119.175655,9780,18-30,New Customer,High
0115-TFERT,1,Male,24,Yes,No,Yes,No,0,21,None,Fiber Optic,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,111.2,2317.1,3198.56,3,Churned,Yes,1,89,4123,Attitude,Attitude of service provider,United States,California,Fresno,93650,36.841655,-119.797113,3258,18-30,Growing,High
8910-LEDAG,1,Male,72,No,Yes,Yes,No,0,34,None,Fiber Optic,No,No,No,Two Year,Credit Card,71.55,2427.35,2868.67,3,Stayed,No,0,72,3583,,,United States,California,Prather,93651,37.007238,-119.505661,1314,60,Loyal,High
1323-OOEPC,1,Female,45,No,No,Yes,No,0,53,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Credit Card,98.4,5149.5,7361.72,2,Churned,Yes,1,87,6481,Price,Extra data charges,United States,California,Prather,93651,37.007238,-119.505661,1314,31-45,Long-term,High
3452-GWUIN,1,Female,78,No,Yes,Yes,No,0,19,None,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,94.95,1760.25,2132.08,5,Stayed,No,0,40,5316,,,United States,California,Raisin City,93652,36.594542,-119.905245,265,60,Growing,Medium
2311-QYMUQ,1,Female,41,No,No,Yes,No,0,16,None,Fiber Optic,No,Yes,No,Month-to-Month,Credit Card,89.45,1430.25,1937.93,3,Churned,Yes,1,73,3696,Attitude,Attitude of support person,United States,California,San Joaquin,93660,36.600193,-120.153393,4318,31-45,Growing,High
9101-BWFSS,1,Female,58,No,No,Yes,No,0,50,Offer B,Fiber Optic,Yes,Yes,Yes,One Year,Bank Withdrawal,108.55,5610.7,7082.2,2,Churned,Yes,1,82,4274,Other,Moved,United States,California,Tollhouse,93667,36.993666,-119.348267,2633,46-60,Long-term,High
9921-ZVRHG,1,Female,44,No,No,No,No,0,14,None,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,80.45,1072,1088.66,1,Churned,Yes,1,94,4155,Competitor,Competitor had better devices,United States,California,Traver,93673,36.456091,-119.486225,646,31-45,Growing,High
8450-UYIBU,1,Female,77,No,Yes,No,No,0,35,None,Cable,No,Yes,No,Two Year,Bank Withdrawal,39.85,1434.6,1434.6,4,Stayed,No,0,60,2030,,,United States,California,Fresno,93703,36.768774,-119.762633,31180,60,Loyal,Medium
6982-SSHFK,1,Male,45,No,No,No,No,0,1,Offer E,DSL,No,No,No,Month-to-Month,Mailed Check,44.4,44.4,76.84,1,Churned,Yes,1,89,3522,Competitor,Competitor had better devices,United States,California,Fresno,93703,36.768774,-119.762633,31180,31-45,New Customer,High
1162-ECVII,1,Male,66,No,Yes,Yes,No,0,72,Offer A,Fiber Optic,Yes,Yes,Yes,Two Year,Bank Withdrawal,109.75,7932.5,9421.78,4,Stayed,No,0,53,4265,,,United States,California,Fresno,93704,36.799648,-119.801247,26580,60,Long-term,Medium
1038-ZAGBI,1,Female,59,No,No,Yes,No,0,12,None,None,No,No,No,One Year,Bank Withdrawal,19.8,229.6,681.4,3,Churned,Yes,1,94,2653,Attitude,Attitude of support person,United States,California,Fresno,93711,36.833002,-119.82947,36274,46-60,New Customer,High
3836-FZSDJ,1,Male,69,No,Yes,Yes,No,0,71,Offer A,None,No,No,No,Two Year,Bank Withdrawal,24.85,1901,3476.49,5,Stayed,No,0,53,4367,,,United States,California,Fresno,93720,36.878709,-119.7645,45087,60,Long-term,Medium
3027-ZTDHO,1,Male,21,Yes,No,No,No,0,1,Offer E,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,89.9,89.9,122.75,1,Churned,Yes,1,80,5951,Other,Don't know,United States,California,Fresno,93721,36.732694,-119.783786,6848,18-30,New Customer,High
8695-ARGXZ,1,Male,66,No,Yes,Yes,No,0,34,None,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,75.55,2425.4,2495.78,5,Stayed,No,0,22,5381,,,United States,California,Fresno,93722,36.78979,-119.929894,60889,60,Loyal,Low
0187-QSXOE,1,Male,71,No,Yes,Yes,No,0,7,None,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,89,605.45,899.24,4,Stayed,No,0,36,5711,,,United States,California,Fresno,93725,36.623632,-119.741322,21010,60,New Customer,Medium
7733-UDMTP,1,Female,65,No,Yes,No,No,0,57,Offer B,DSL,No,Yes,Yes,Two Year,Bank Withdrawal,55,3094.05,3094.05,4,Stayed,No,0,76,4622,,,United States,California,Fresno,93726,36.793601,-119.761131,39148,60,Long-term,High
1697-NVVGY,1,Male,71,No,Yes,Yes,No,0,19,None,DSL,No,Yes,No,Month-to-Month,Bank Withdrawal,66.4,1286.05,1864.41,4,Stayed,No,0,22,4533,,,United States,California,Fresno,93728,36.757345,-119.818274,16346,60,Growing,Low
6904-JLBGY,1,Female,78,No,Yes,No,No,0,72,Offer A,Fiber Optic,Yes,Yes,Yes,Two Year,Credit Card,117.35,8436.25,9511.93,4,Stayed,No,0,71,4008,,,United States,California,Salinas,93905,36.667794,-121.601306,58548,60,Long-term,High
8433-WXGNA,1,Male,55,No,No,No,No,0,2,None,Cable,No,No,No,Month-to-Month,Bank Withdrawal,75.7,189.2,273.52,1,Churned,Yes,1,82,4676,Other,Don't know,United States,California,Salinas,93906,36.722898,-121.633648,53946,46-60,New Customer,High
4223-WOZCM,1,Male,71,No,Yes,No,No,0,2,Offer E,DSL,No,No,No,Two Year,Mailed Check,49.95,107.1,183.04,5,Joined,No,0,78,5251,,,United States,California,Carmel,93923,36.460611,-121.852507,13121,60,New Customer,High
2207-NHRJK,1,Male,58,No,No,No,No,0,1,Offer E,DSL,No,No,No,Month-to-Month,Bank Withdrawal,50.8,50.8,52.08,1,Churned,Yes,1,85,3718,Competitor,Competitor had better devices,United States,California,Carmel,93923,36.460611,-121.852507,13121,46-60,New Customer,High
8224-DWCKX,1,Male,78,No,Yes,No,No,0,12,None,Fiber Optic,No,No,No,Two Year,Credit Card,73.3,828.05,1348.85,4,Stayed,No,0,38,5159,,,United States,California,Burlingame,94010,37.57028,-122.365778,40346,60,New Customer,Medium
8931-GJJIQ,1,Female,46,No,No,No,No,0,9,None,Fiber Optic,No,No,Yes,Month-to-Month,Bank Withdrawal,83.3,803.3,1070.6,2,Churned,Yes,1,90,3520,Attitude,Attitude of support person,United States,California,Burlingame,94010,37.57028,-122.365778,40346,46-60,New Customer,High
3707-GNWHM,1,Male,28,Yes,No,No,No,0,1,None,Fiber Optic,No,No,No,Month-to-Month,Mailed Check,74.25,74.25,96.05,1,Churned,Yes,1,93,4750,Other,Don't know,United States,California,Carmel Valley,93924,36.414611,-121.6386,6691,18-30,New Customer,High
1768-HNVGJ,1,Female,80,No,Yes,No,No,0,45,Offer B,Cable,Yes,No,Yes,Two Year,Bank Withdrawal,70.05,3062.45,3893.15,3,Stayed,No,0,43,4223,,,United States,California,Mountain View,94043,37.419725,-122.062947,27822,60,Loyal,Medium
3804-RVTGV,1,Male,55,No,No,Yes,No,0,50,Offer B,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,103.85,5017.9,7128.4,2,Churned,Yes,1,91,5812,Price,Price too high,United States,California,Mountain View,94043,37.419725,-122.062947,27822,46-60,Long-term,High
0952-KMEEH,1,Male,46,No,No,No,No,0,13,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Mailed Check,98.15,1230.25,1313.93,1,Churned,Yes,1,91,5525,Price,Long distance charges,United States,California,Mountain View,94043,37.419725,-122.062947,27822,46-60,Growing,High
4395-PZMSN,1,Male,67,No,Yes,No,No,0,5,Offer E,Fiber Optic,No,No,Yes,Two Year,Bank Withdrawal,85.55,408.5,500.4,4,Stayed,No,0,48,2850,,,United States,California,San Gregorio,94074,37.331762,-122.341444,291,60,New Customer,Medium
5446-DKWYW,1,Female,74,No,Yes,Yes,Yes,1,61,Offer B,DSL,No,Yes,No,One Year,Bank Withdrawal,65.2,3965.05,6362.96,4,Stayed,No,0,30,6238,,,United States,California,San Francisco,94103,37.773147,-122.411287,23036,60,Long-term,Low
8107-KNCIM,1,Male,73,No,Yes,Yes,No,0,14,None,Fiber Optic,No,No,No,Two Year,Bank Withdrawal,75.1,1013.35,1649.79,4,Stayed,No,0,66,3771,,,United States,California,San Francisco,94111,37.801776,-122.402293,3337,60,Growing,Medium
5451-YHYPW,1,Female,75,No,Yes,Yes,No,0,72,Offer A,Fiber Optic,Yes,Yes,Yes,Two Year,Credit Card,115.75,8443.7,11795.78,3,Stayed,No,0,50,6205,,,United States,California,San Francisco,94129,37.797526,-122.464531,2240,60,Long-term,Medium
4910-GMJOT,1,Female,56,No,No,No,No,0,1,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,94.6,94.6,95.77,1,Churned,Yes,1,96,4033,Other,Don't know,United States,California,San Francisco,94129,37.797526,-122.464531,2240,46-60,New Customer,High
9944-HKVVB,1,Female,55,No,No,No,No,0,3,Offer E,Cable,No,Yes,Yes,Month-to-Month,Bank Withdrawal,95.1,307.4,450.26,1,Churned,Yes,1,77,5861,Competitor,Competitor had better devices,United States,California,King City,93930,36.220761,-120.980777,14477,46-60,New Customer,High
9112-WSNPU,1,Female,65,No,Yes,No,No,0,35,None,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,70.55,2419,3010.85,4,Stayed,No,0,45,5873,,,United States,California,Monterey,93940,36.362741,-121.869685,32857,60,Loyal,Medium
8189-XRIKE,1,Female,80,No,Yes,No,No,0,32,Offer C,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,90.95,2897.95,3882.64,4,Stayed,No,0,52,5936,,,United States,California,Newark,94560,37.504133,-122.032347,42491,60,Loyal,Medium
3740-RLMVT,1,Male,79,No,Yes,Yes,No,0,67,Offer A,Cable,Yes,No,No,One Year,Bank Withdrawal,60.95,4119.4,6920.9,3,Stayed,No,0,41,5792,,,United States,California,Saint Helena,94574,38.581354,-122.296283,9423,60,Long-term,Medium
3550-SAHFP,1,Female,51,No,No,No,No,0,33,None,Fiber Optic,No,No,Yes,Month-to-Month,Bank Withdrawal,83.35,2757.85,3467.42,2,Churned,Yes,1,66,5456,Price,Price too high,United States,California,Saint Helena,94574,38.581354,-122.296283,9423,46-60,Loyal,Medium
3313-QKNKB,1,Male,24,Yes,No,Yes,No,0,59,Offer B,Fiber Optic,No,No,Yes,One Year,Bank Withdrawal,85.55,5084.65,5492.34,3,Churned,Yes,1,80,6304,Competitor,Competitor offered more data,United States,California,Pebble Beach,93953,36.587497,-121.944815,4602,18-30,Long-term,High
2186-QZEYA,1,Female,68,No,Yes,No,No,0,29,Offer C,DSL,No,No,No,Two Year,Bank Withdrawal,58.55,1718.95,1943.37,3,Stayed,No,0,30,2044,,,United States,California,San Leandro,94579,37.687264,-122.15728,19815,60,Loyal,Low
3842-IYKUE,1,Female,28,Yes,No,No,No,0,35,Offer C,Fiber Optic,Yes,No,No,Month-to-Month,Credit Card,85.3,2917.5,4603.51,2,Churned,Yes,1,88,2455,Competitor,Competitor offered more data,United States,California,San Leandro,94579,37.687264,-122.15728,19815,18-30,Loyal,High
5599-HVLTW,1,Female,73,No,Yes,No,No,0,14,None,Fiber Optic,No,No,No,Two Year,Bank Withdrawal,80.35,1058.1,1128.15,4,Stayed,No,0,39,3276,,,United States,California,Oakland,94609,37.834341,-122.26437,21097,60,Growing,Medium
4659-NZRUF,1,Female,64,No,No,No,No,0,19,Offer D,Fiber Optic,No,No,Yes,Month-to-Month,Bank Withdrawal,95.15,1789.25,2533.78,3,Churned,Yes,1,78,5830,Price,Long distance charges,United States,California,Oakland,94609,37.834341,-122.26437,21097,60,Growing,High
9208-OLGAQ,1,Female,70,No,Yes,No,No,0,18,None,Fiber Optic,No,No,Yes,Two Year,Bank Withdrawal,84.95,1443.65,1971.49,4,Stayed,No,0,74,3878,,,United States,California,Berkeley,94709,37.878554,-122.26609,10147,60,Growing,High
5073-WXOYN,1,Female,58,No,No,No,No,0,60,Offer B,Cable,No,Yes,Yes,Month-to-Month,Bank Withdrawal,50.8,3027.4,3027.4,2,Churned,Yes,1,67,4941,Competitor,Competitor offered more data,United States,California,Belmont,94002,37.509366,-122.306132,25566,46-60,Long-term,Medium
5766-ZJYBB,1,Male,52,No,No,No,No,0,1,None,None,No,No,No,Month-to-Month,Mailed Check,19.4,19.4,22.54,2,Churned,Yes,1,66,4152,Dissatisfaction,Service dissatisfaction,United States,California,Brisbane,94005,37.684694,-122.40712,3635,46-60,New Customer,Medium
0537-QYZZN,1,Male,66,No,Yes,Yes,Yes,2,24,Offer C,Fiber Optic,No,No,No,Two Year,Bank Withdrawal,79.85,1857.75,1955.19,3,Stayed,No,0,36,3412,,,United States,California,Petaluma,94952,38.237018,-122.77872,31930,60,Growing,Medium
3340-QBBFM,1,Male,65,No,Yes,Yes,No,0,36,Offer C,DSL,Yes,No,No,One Year,Credit Card,54.1,1992.85,3689.52,3,Stayed,No,0,48,4017,,,United States,California,Petaluma,94954,38.235021,-122.557332,35419,60,Loyal,Medium
7576-JMYWV,1,Female,76,No,Yes,Yes,Yes,1,46,Offer B,Fiber Optic,Yes,Yes,Yes,Two Year,Bank Withdrawal,110.2,4972.1,5911.42,3,Stayed,No,0,55,4162,,,United States,California,San Martin,95046,37.084697,-121.606417,5671,60,Loyal,Medium
4607-CHPCA,1,Male,63,No,No,Yes,No,0,25,None,Fiber Optic,No,Yes,Yes,One Year,Bank Withdrawal,90.4,2178.6,3200.35,3,Churned,Yes,1,91,5801,Competitor,Competitor made better offer,United States,California,San Martin,95046,37.084697,-121.606417,5671,60,Loyal,High
5227-JSCFE,1,Male,74,No,Yes,Yes,No,0,71,Offer A,DSL,Yes,No,No,Two Year,Credit Card,46.35,3353.4,3334.76,4,Stayed,No,0,28,5421,,,United States,California,Scotts Valley,95066,37.070177,-122.010077,14574,60,Long-term,Low
1608-GMEWB,1,Male,76,No,Yes,No,No,0,45,Offer B,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,93.9,4200.25,4904.5,4,Stayed,No,0,58,3960,,,United States,California,Stockton,95215,37.946282,-121.139499,23789,60,Loyal,Medium
3908-BLSYF,1,Female,40,No,No,No,No,0,6,None,Fiber Optic,No,No,Yes,Month-to-Month,Bank Withdrawal,83.9,497.55,653.13,1,Churned,Yes,1,90,3962,Competitor,Competitor had better devices,United States,California,Los Altos,94024,37.352911,-122.093002,21496,31-45,New Customer,High
0442-ZXKVS,1,Female,79,No,Yes,Yes,No,0,54,Offer B,Fiber Optic,Yes,Yes,Yes,One Year,Bank Withdrawal,115.6,6431.05,8791.39,3,Stayed,No,0,45,4337,,,United States,California,Denair,95316,37.524721,-120.757977,5513,60,Long-term,Medium
0575-CUQOV,1,Male,76,No,Yes,Yes,No,0,60,Offer B,Fiber Optic,No,Yes,Yes,One Year,Bank Withdrawal,97.95,5867,6890,4,Stayed,No,0,29,6150,,,United States,California,Hilmar,95324,37.394536,-120.890747,7177,60,Long-term,Low
5329-KRDTM,1,Male,73,No,Yes,Yes,No,0,72,Offer A,DSL,Yes,Yes,No,Two Year,Credit Card,77.35,5396.25,7821.21,4,Stayed,No,0,29,6202,,,United States,California,Long Barn,95335,38.109125,-120.078597,683,60,Long-term,Low
3927-NLNRY,1,Male,48,No,No,Yes,No,0,53,Offer B,Fiber Optic,No,Yes,Yes,One Year,Bank Withdrawal,94.25,4867.95,5703.76,3,Churned,Yes,1,96,5414,Other,Moved,United States,California,Long Barn,95335,38.109125,-120.078597,683,46-60,Long-term,High
9518-XXBXE,1,Male,80,No,Yes,Yes,No,0,10,None,Fiber Optic,No,No,No,Two Year,Bank Withdrawal,75.3,720.45,971.75,4,Stayed,No,0,41,4254,,,United States,California,Patterson,95363,37.410236,-121.320337,15536,60,New Customer,Medium
0423-UDIJQ,1,Male,74,No,Yes,No,No,0,9,None,DSL,Yes,No,No,Two Year,Mailed Check,49.2,447.9,511.89,4,Stayed,No,0,22,2145,,,United States,California,Snelling,95369,37.521708,-120.426843,1158,60,New Customer,Low
6581-NQCBA,1,Female,36,No,No,Yes,No,0,16,Offer D,DSL,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,49.95,810.2,810.2,1,Churned,Yes,1,78,4840,Other,Don't know,United States,California,Snelling,95369,37.521708,-120.426843,1158,31-45,Growing,High
7549-MYGPK,1,Female,48,No,No,Yes,No,0,63,Offer B,Fiber Optic,No,Yes,No,Month-to-Month,Bank Withdrawal,100.55,6215.35,6781.09,2,Churned,Yes,1,79,5413,Price,Price too high,United States,California,Mountain View,94040,37.380662,-122.086022,32143,46-60,Long-term,High
8999-XXGNS,1,Female,70,No,Yes,Yes,No,0,72,Offer A,Fiber Optic,No,Yes,Yes,One Year,Credit Card,105.75,7629.85,9016.65,5,Stayed,No,0,53,5832,,,United States,California,Healdsburg,95448,38.618347,-122.908422,17979,60,Long-term,Medium
9227-LUNBG,1,Female,39,No,No,No,No,0,1,None,DSL,No,No,No,Month-to-Month,Bank Withdrawal,24.6,24.6,24.6,2,Churned,Yes,1,76,5768,Price,Price too high,United States,California,Pescadero,94060,37.22565,-122.297533,2055,31-45,New Customer,High
4884-TVUQF,1,Female,80,No,Yes,No,No,0,57,Offer B,Fiber Optic,Yes,No,Yes,Two Year,Credit Card,101.3,5779.6,7882.33,4,Stayed,No,0,48,4421,,,United States,California,Occidental,95465,38.415003,-122.998726,1880,60,Long-term,Medium
8065-BVEPF,1,Male,80,No,Yes,No,No,0,65,Offer B,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,99.1,6496.15,7681.1,4,Stayed,No,0,52,4574,,,United States,California,Yorkville,95494,38.888351,-123.239647,335,60,Long-term,Medium
4118-CEVPF,1,Female,74,No,Yes,No,No,0,35,None,Fiber Optic,Yes,Yes,Yes,One Year,Bank Withdrawal,110.8,3836.3,5098.5,3,Stayed,No,0,35,2125,,,United States,California,Redwood City,94062,37.410567,-122.297152,25569,60,Loyal,Medium
8755-IWJHN,1,Male,73,No,Yes,Yes,No,0,69,None,Fiber Optic,No,No,Yes,Two Year,Bank Withdrawal,95.35,6382,9825.79,3,Stayed,No,0,21,6132,,,United States,California,Honeydew,95545,40.342928,-124.063329,82,60,Long-term,Low
1725-MIMXW,1,Male,42,No,No,No,No,0,1,Offer E,None,No,No,No,Month-to-Month,Credit Card,19.45,19.45,68.41,2,Churned,Yes,1,78,5687,Dissatisfaction,Poor expertise of phone support,United States,California,Honeydew,95545,40.342928,-124.063329,82,31-45,New Customer,High
4480-QQRHC,1,Female,72,No,Yes,No,No,0,8,None,Fiber Optic,No,No,No,Two Year,Bank Withdrawal,74.05,600.15,617.59,3,Stayed,No,0,79,4899,,,United States,California,Hydesville,95547,40.557314,-124.081662,1201,60,New Customer,High
4315-MURBD,1,Female,64,No,No,No,No,0,12,None,Cable,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,98.9,1120.95,1539.99,1,Churned,Yes,1,71,5559,Price,Price too high,United States,California,San Bruno,94066,37.624436,-122.430661,39566,60,New Customer,High
